,Private Sector Workers (1),Government Workers (2),Public–Private Gap (2)-(1)
Mean Log Wage,3.007,3.219,0.212
Mean Education,14.212,15.073,0.861
Fraction < BA,0.63,0.495,-0.135
Fraction with BA,0.246,0.258,0.012
Fraction with MA,0.083,0.18,0.097
Fraction with PhD,0.04,0.067,0.027
Sample Size,38553.0,6851.0,
