"age","phd","educ","logwage","hs","somecoll","college","ma","govt"
35,0,13,2.93403870454865,0,1,0,0,0
50,0,14,2.95651156040071,0,1,0,0,0
47,0,16,3.08753982280711,0,0,1,0,0
43,0,12,2.62336711387217,1,0,0,0,0
42,0,13,1.38629436111989,0,1,0,0,0
41,0,14,3.2188758248682,0,1,0,0,0
40,0,14,1.38629436111989,0,1,0,0,0
32,0,12,2.34715390557045,1,0,0,0,0
47,0,12,2.66882948794893,1,0,0,0,0
37,0,14,1.38629436111989,0,1,0,0,0
46,0,12,2.44568593663472,1,0,0,0,0
48,0,13,2.95651156040071,0,1,0,0,0
49,0,16,3.11777970799683,0,0,1,0,1
32,0,12,2.66882948794893,1,0,0,0,0
44,0,13,1.54489939129653,0,1,0,0,0
34,0,16,3.17965511171492,0,0,1,0,1
45,0,12,2.95651156040071,1,0,0,0,0
37,0,13,3.44201937618241,0,1,0,0,1
43,0,13,3.16758253048065,0,1,0,0,0
38,0,16,3.58512021982308,0,0,1,0,0
38,0,14,3.48713981146288,0,1,0,0,0
47,0,12,3.54429822530283,1,0,0,0,0
45,0,12,2.95651156040071,1,0,0,0,0
37,0,14,2.73869753191626,0,1,0,0,0
50,0,12,2.73622107806891,1,0,0,0,0
34,0,12,2.6951467962663,1,0,0,0,0
33,0,13,3.1048453549064,0,1,0,0,0
46,0,12,2.70805020110221,1,0,0,0,0
39,0,12,2.9231917360406,1,0,0,0,0
35,0,16,3.44201937618241,0,0,1,0,0
50,0,12,2.95651156040071,1,0,0,0,0
49,0,16,3.71028336277709,0,0,1,0,0
30,0,12,2.85115104474288,1,0,0,0,0
47,0,13,2.83872852474433,0,1,0,0,0
39,0,12,2.54099611643904,1,0,0,0,0
45,0,12,3.06187207605854,1,0,0,0,0
50,0,12,2.7333680090865,1,0,0,0,0
46,0,13,2.95651156040071,0,1,0,0,0
42,0,12,2.83321334405622,1,0,0,0,0
49,0,12,2.7333680090865,1,0,0,0,0
45,0,12,2.66882948794893,1,0,0,0,1
37,0,16,1.38629436111989,0,0,1,0,0
46,0,12,2.15800386418294,1,0,0,0,0
33,0,16,3.39834431267975,0,0,1,0,0
36,0,14,2.5818181109593,0,1,0,0,0
34,0,16,3.51612734833613,0,0,1,0,0
42,0,13,2.95651156040071,0,1,0,0,1
30,0,13,3.2188758248682,0,1,0,0,0
50,0,14,3.05182174020503,0,1,0,0,0
38,0,13,2.59983661646198,0,1,0,0,0
48,0,16,2.95651156040071,0,0,1,0,0
39,1,20,4.18517697731702,0,0,0,0,0
47,0,14,3.39834431267975,0,1,0,0,0
48,0,12,1.38629436111989,1,0,0,0,0
46,0,16,3.07429459605709,0,0,1,0,0
40,1,20,4.03102629748976,0,0,0,0,0
47,0,16,3.55434856115633,0,0,1,0,1
41,0,12,2.88810160936163,1,0,0,0,0
50,0,13,2.16905370036952,0,1,0,0,1
40,0,13,1.78532857889776,0,1,0,0,0
37,0,13,2.63805782928218,0,1,0,0,0
33,0,12,1.38629436111989,1,0,0,0,0
33,0,13,3.24664063649554,0,1,0,0,0
37,0,16,3.15433730373063,0,0,1,0,0
44,0,12,2.95651156040071,1,0,0,0,0
39,0,12,2.5634689722911,1,0,0,0,0
38,0,18,3.62434093297637,0,0,0,1,1
41,0,18,2.00100011537327,0,0,0,1,0
47,0,12,3.17965511171492,1,0,0,0,0
49,0,13,3.54429822530283,0,1,0,0,0
49,0,12,3.2379240198389,1,0,0,0,0
39,0,13,2.26336437984076,0,1,0,0,0
45,0,16,3.4572868483132,0,0,1,0,0
39,0,16,3.1594524043974,0,0,1,0,0
44,0,12,2.51022445777229,1,0,0,0,0
50,0,18,3.58512021982308,0,0,0,1,1
46,0,12,2.5634689722911,1,0,0,0,0
40,0,14,3.92178291449649,0,1,0,0,0
42,0,12,3.10733445013529,1,0,0,0,0
38,0,14,2.65356201581814,0,1,0,0,0
49,0,13,3.27496529151924,0,1,0,0,1
40,0,14,3.34516955019249,0,1,0,0,0
40,0,12,1.38629436111989,1,0,0,0,0
44,0,12,2.70161931077192,1,0,0,0,0
49,0,12,3.51612734833613,1,0,0,0,0
41,0,16,2.97592964625781,0,0,1,0,1
48,0,12,2.878550018931,1,0,0,0,0
33,0,12,2.5591138233703,1,0,0,0,0
44,0,12,3.33438871199005,1,0,0,0,0
45,0,12,2.85115104474288,1,0,0,0,0
42,1,20,4.70905031647548,0,0,0,0,0
31,0,14,3.71028336277709,0,1,0,0,0
48,0,16,3.17008566069877,0,0,1,0,0
44,0,14,3.36197666850887,0,1,0,0,0
40,0,13,2.81341071676004,0,1,0,0,0
