State,Missouri
1/31/2023," $236,747.36 "
2/28/2023," $236,622.17 "
3/31/2023," $237,169.12 "
4/30/2023," $238,743.65 "
5/31/2023," $240,709.06 "
6/30/2023," $242,646.09 "
7/31/2023," $244,125.67 "
8/31/2023," $245,427.89 "
9/30/2023," $246,383.70 "
10/31/2023," $246,979.88 "
11/30/2023," $247,177.47 "
12/31/2023," $247,222.14 "
